                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0705,                  3.454,                 4.3117,                0.00333,                      1,                0.01829,                0.00976,                 1.9736,                 3.6086,                 4.1587,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.1146,                 3.3793,                 4.2879,                0.00333,                      1,                0.02558,                0.01166,                 1.9737,                 3.6104,                 4.1585,                6.7e-05,                6.7e-05,                6.7e-05
                      3,                 2.9442,                 3.3389,                 4.2558,                0.00333,                      1,                0.03374,                 0.0152,                 1.9739,                 3.6106,                 4.1581,               5.44e-05,               5.44e-05,               5.44e-05
