                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0705,                  3.454,                 4.3117,                0.00333,                      1,                0.01829,                0.00976,                 1.9736,                 3.6086,                 4.1587,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.1109,                 3.3798,                 4.2817,                0.00333,                      1,                0.02164,                0.01131,                 1.9737,                   3.61,                 4.1584,              9.505e-05,              9.505e-05,              9.505e-05
                      3,                 2.9394,                 3.3176,                 4.2632,                0.00333,                      1,                0.05893,                0.02205,                 1.9736,                 3.6085,                 4.1576,             0.00014416,             0.00014416,             0.00014416
                      4,                 3.3173,                 3.3567,                 4.2485,                0.00333,                      1,                0.06653,                0.03429,                 1.9733,                 3.6058,                 4.1567,             0.00018733,             0.00018733,             0.00018733
                      5,                 3.0409,                 3.2912,                 4.2176,                0.00333,                      1,                 0.0796,                0.02551,                 1.9728,                 3.6022,                 4.1552,             0.00022456,             0.00022456,             0.00022456
                      6,                 3.2025,                 3.2996,                  4.193,                0.00333,                      1,                0.10338,                0.03244,                 1.9726,                 3.5987,                 4.1533,             0.00025585,             0.00025585,             0.00025585
                      7,                 3.1159,                 3.3366,                 4.1859,                0.00333,                      1,                0.09012,                0.02892,                 1.9727,                 3.5929,                 4.1502,              0.0002812,              0.0002812,              0.0002812
                      8,                 2.9624,                 3.2815,                 4.1849,                0.00333,                      1,                0.10601,                0.03269,                 1.9731,                 3.5888,                 4.1483,             0.00030061,             0.00030061,             0.00030061
                      9,                 3.0446,                 3.3353,                 4.1885,                0.00333,                      1,                0.08656,                0.02455,                 1.9734,                 3.5792,                 4.1429,             0.00031408,             0.00031408,             0.00031408
                     10,                 2.8424,                 3.3314,                 4.1782,                0.00333,                      1,                0.05974,                0.02423,                 1.9732,                 3.5751,                 4.1396,             0.00032161,             0.00032161,             0.00032161
                     11,                 2.4992,                 3.7347,                 4.2112,                0.00333,                      1,                0.06133,                0.02334,                 1.9726,                 3.5727,                 4.1325,              0.0003232,              0.0003232,              0.0003232
                     12,                 2.5748,                 3.6265,                 4.1973,                0.00333,                      1,                0.11636,                0.03068,                 1.9728,                 3.5736,                 4.1294,             0.00031885,             0.00031885,             0.00031885
                     13,                 2.2982,                 3.6501,                 4.1581,                0.00333,                      1,                0.11606,                 0.0336,                 1.9758,                  3.571,                 4.1223,             0.00030856,             0.00030856,             0.00030856
                     14,                 2.3486,                 3.5344,                 4.1429,                0.00333,                      1,                0.11279,                0.03103,                 1.9778,                 3.5662,                 4.1193,             0.00029233,             0.00029233,             0.00029233
                     15,                 2.2498,                 3.6149,                 4.1152,                0.00333,                      1,                0.08238,                 0.0256,                 1.9816,                 3.5549,                 4.1168,             0.00027016,             0.00027016,             0.00027016
                     16,                 2.3701,                 3.4588,                  4.107,                0.00333,                      1,                0.07647,                0.02435,                 1.9836,                 3.5471,                 4.1156,             0.00024205,             0.00024205,             0.00024205
                     17,                 2.5634,                 3.5777,                 4.1358,                0.00333,                      1,                0.07906,                0.02463,                  1.987,                 3.5277,                 4.1152,               0.000208,               0.000208,               0.000208
                     18,                 2.4468,                 3.4031,                 4.1086,                0.00333,                      1,                0.08066,                0.02544,                 1.9883,                 3.5158,                 4.1135,             0.00016801,             0.00016801,             0.00016801
                     19,                 2.3767,                 3.3845,                 4.1007,                0.00333,                      1,                 0.0745,                0.02448,                 1.9898,                 3.5046,                 4.1138,             0.00012208,             0.00012208,             0.00012208
                     20,                 2.5549,                 3.4598,                 4.1068,                0.00333,                      1,                0.07075,                0.02396,                 1.9909,                 3.4948,                 4.1138,              7.021e-05,              7.021e-05,              7.021e-05
