                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4326,                 3.4913,                 3.9883,                0.00286,                0.25822,                0.01254,                0.00398,                 4.0794,                  3.886,                 4.6196,             0.00066077,             0.00066077,             0.00066077
                      2,                 2.9451,                 3.1699,                 3.2663,                0.05943,                0.05481,                0.01655,                0.00481,                 2.8764,                 3.6885,                 3.2599,              0.0013209,              0.0013209,              0.0013209
                      3,                 2.6194,                 2.9146,                 2.9636,                0.15698,                0.13155,                0.06723,                0.02338,                 2.5324,                  3.045,                 2.8922,              0.0019744,              0.0019744,              0.0019744
                      4,                 2.4113,                 2.7542,                 2.7554,                0.15597,                0.13303,                0.06897,                0.02774,                  2.358,                 4.3678,                 2.7298,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.2372,                  2.589,                 2.5956,                0.22586,                0.23021,                0.14113,                0.04629,                 2.3066,                 2.7676,                 2.6045,              0.0019703,              0.0019703,              0.0019703
                      6,                 2.1315,                 2.4074,                 2.4368,                0.30518,                0.19732,                0.16231,                0.07208,                 2.1149,                  2.818,                 2.4675,              0.0019604,              0.0019604,              0.0019604
                      7,                 2.0301,                 2.3196,                 2.3438,                 0.3413,                0.27649,                0.21106,                0.09058,                 2.1407,                 2.5482,                  2.385,              0.0019505,              0.0019505,              0.0019505
                      8,                   1.95,                 2.1962,                 2.2456,                0.37189,                0.30506,                0.27143,                0.13144,                 1.9553,                 2.2521,                 2.2534,              0.0019406,              0.0019406,              0.0019406
                      9,                  1.901,                 2.1279,                 2.1809,                0.38229,                0.32037,                0.29134,                0.15648,                 1.8853,                 2.1723,                 2.1868,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.8639,                 2.0512,                 2.1412,                 0.4381,                 0.3447,                0.33122,                0.17752,                  1.858,                 2.0642,                 2.1248,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.8064,                 2.0178,                 2.0819,                0.54565,                0.34714,                0.37936,                0.20759,                 1.8432,                 1.9458,                 2.1192,              0.0019109,              0.0019109,              0.0019109
                     12,                   1.76,                 1.9492,                  2.048,                0.49605,                 0.3447,                0.37602,                0.21476,                 1.7483,                 1.8787,                 2.0199,               0.001901,               0.001901,               0.001901
                     13,                 1.7372,                  1.892,                 2.0193,                0.47136,                0.36297,                0.35968,                0.18715,                 1.7957,                 2.0718,                 2.0269,              0.0018911,              0.0018911,              0.0018911
