                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4539,                 3.5519,                 4.1337,                0.00333,                      1,                0.03446,                0.01374,                  2.034,                 3.3007,                 4.2066,             0.00065608,             0.00065608,             0.00065608
                      2,                 3.1774,                 3.3724,                 3.6364,                0.00333,                      1,                0.10931,                0.02426,                 2.1475,                  3.472,                 4.4161,             0.00088624,             0.00088624,             0.00088624
                      3,                 2.9777,                 3.2128,                  3.335,                0.01091,                      1,                0.01681,                0.00434,                 2.4861,                 4.4741,                 3.9379,              0.0006764,              0.0006764,              0.0006764
