                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5517,                 1.8071,                 1.7544,                0.56817,                 0.4256,                 0.4366,                0.24323,                 1.7018,                 1.7748,                 1.8962,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.5463,                 1.7714,                 1.7393,                0.54779,                0.44236,                0.45423,                0.24981,                 1.6683,                 1.7474,                 1.8756,             0.00096215,             0.00096215,             0.00096215
                     36,                  1.542,                 1.7766,                 1.7433,                0.56718,                0.40532,                0.43757,                0.25164,                 1.6652,                 1.8002,                 1.8748,               0.000948,               0.000948,               0.000948
                     37,                  1.537,                 1.7604,                 1.7348,                0.61081,                0.43409,                 0.4733,                0.26628,                 1.6647,                 1.6954,                 1.8601,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.5268,                 1.7583,                 1.7271,                0.55531,                0.43852,                0.45915,                0.25936,                 1.6398,                 1.7304,                 1.8518,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.5264,                 1.7395,                  1.724,                0.58578,                0.42987,                0.46797,                0.26535,                 1.6403,                  1.676,                 1.8519,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.524,                 1.7263,                 1.7133,                0.56588,                0.43691,                0.45323,                0.25815,                 1.6452,                 1.7082,                   1.86,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.5095,                 1.7168,                 1.7086,                0.58671,                0.44734,                0.46267,                0.26639,                 1.6217,                 1.6806,                 1.8365,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.5003,                 1.6835,                 1.6939,                0.57838,                0.43619,                0.46143,                0.26336,                 1.6334,                 1.6944,                 1.8468,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.4994,                 1.6843,                 1.7011,                0.57086,                0.41905,                0.45957,                0.26438,                 1.6432,                 1.7167,                 1.8425,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.4981,                 1.6762,                 1.6937,                0.53873,                0.46265,                0.47412,                0.26956,                 1.6227,                 1.6348,                  1.828,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.4816,                 1.6592,                 1.6855,                0.57416,                0.44447,                 0.4781,                0.27497,                 1.6198,                 1.6518,                 1.8432,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.4914,                 1.6579,                 1.6791,                0.63134,                0.42665,                 0.4838,                0.27499,                 1.6078,                 1.6471,                 1.8091,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.4823,                 1.6403,                 1.6738,                0.57883,                0.45466,                0.47766,                0.27203,                 1.6156,                 1.6214,                  1.813,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.4932,                 1.6509,                 1.6792,                0.59714,                0.44517,                0.48339,                0.27771,                  1.617,                 1.6143,                  1.827,             0.00077823,             0.00077823,             0.00077823
                     49,                  1.485,                 1.6461,                 1.6769,                0.56813,                0.45489,                 0.4849,                0.27737,                 1.6229,                 1.6311,                 1.8145,             0.00076409,             0.00076409,             0.00076409
                     50,                  1.461,                 1.6085,                 1.6625,                0.57975,                0.44417,                0.47629,                0.27296,                 1.6352,                 1.6321,                 1.8166,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.4655,                 1.6168,                 1.6691,                0.61356,                0.45645,                0.49334,                 0.2834,                 1.6174,                 1.5882,                 1.8205,             0.00073579,             0.00073579,             0.00073579
                     52,                  1.459,                 1.6067,                 1.6588,                 0.5923,                0.46195,                0.48741,                0.28255,                 1.5968,                 1.6201,                 1.7925,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.4502,                 1.5932,                 1.6555,                 0.5714,                0.46493,                0.48299,                0.28158,                 1.6079,                 1.6125,                 1.8047,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.4522,                 1.5897,                 1.6527,                0.58498,                0.47633,                0.49865,                0.28982,                 1.5764,                 1.5731,                 1.7848,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.4357,                  1.586,                 1.6455,                0.63817,                0.45872,                0.49608,                0.28684,                 1.6004,                 1.5829,                 1.7957,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.4372,                 1.5725,                 1.6494,                0.57968,                0.45581,                0.48616,                0.28295,                 1.5891,                 1.5993,                 1.7857,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.4355,                 1.5722,                 1.6421,                0.58718,                0.47467,                0.50309,                0.29207,                 1.5978,                 1.5657,                 1.7992,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.4316,                 1.5701,                 1.6332,                0.60443,                0.47149,                0.51102,                0.29599,                 1.5922,                 1.5506,                 1.7809,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.4283,                 1.5403,                 1.6353,                0.64251,                0.46213,                0.50777,                0.29198,                 1.5836,                 1.5447,                 1.7899,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.4253,                 1.5578,                 1.6374,                0.60363,                0.47013,                0.50258,                0.29215,                 1.5992,                 1.5402,                 1.7906,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.4252,                 1.5592,                 1.6389,                0.60854,                0.47712,                0.51272,                0.29517,                 1.5899,                  1.539,                 1.7925,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.4258,                 1.5243,                 1.6268,                0.60774,                0.48013,                0.51119,                0.29547,                 1.5966,                 1.5303,                 1.7946,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.4134,                 1.5179,                 1.6205,                0.60297,                0.48164,                0.50488,                0.29553,                 1.5888,                  1.525,                 1.7858,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.4102,                 1.5184,                 1.6245,                 0.6273,                0.46019,                0.51548,                0.29942,                 1.5828,                 1.5425,                 1.7792,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.4126,                 1.5223,                 1.6264,                0.60446,                0.49237,                0.51732,                 0.2995,                 1.5782,                 1.5155,                 1.7759,             0.00053773,             0.00053773,             0.00053773
                     66,                  1.406,                 1.5065,                 1.6052,                0.62101,                0.48116,                0.51342,                 0.3023,                 1.5839,                 1.5135,                  1.768,             0.00052359,             0.00052359,             0.00052359
                     67,                  1.408,                 1.4963,                 1.6072,                0.63234,                0.46934,                 0.5116,                0.29905,                 1.5824,                  1.516,                 1.7707,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.3878,                 1.4748,                 1.5945,                0.61703,                0.46443,                0.50758,                0.29567,                 1.5775,                 1.5447,                  1.775,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.3979,                 1.4975,                 1.6067,                0.62992,                0.48087,                0.51877,                  0.302,                 1.5779,                 1.5125,                 1.7798,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.3902,                 1.4961,                 1.6034,                0.61895,                0.47433,                0.51086,                0.30066,                 1.5698,                 1.5138,                 1.7678,               0.000467,               0.000467,               0.000467
                     71,                 1.3841,                 1.4818,                  1.604,                0.59432,                0.48764,                0.51516,                0.30149,                 1.5768,                 1.4936,                 1.7683,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.3788,                 1.4596,                 1.5908,                0.61406,                0.48118,                0.51951,                0.30595,                 1.5723,                 1.4825,                 1.7657,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.3711,                 1.4532,                 1.5846,                0.66557,                0.47003,                0.52463,                0.30905,                 1.5699,                 1.4712,                 1.7631,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.3726,                 1.4507,                 1.5896,                0.65396,                 0.4769,                0.52676,                0.30586,                  1.578,                 1.4862,                   1.77,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.3742,                 1.4542,                 1.5827,                0.63304,                0.49825,                0.53017,                0.31082,                 1.5707,                   1.47,                 1.7575,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.3722,                 1.4405,                 1.5836,                0.65092,                0.48323,                0.52153,                0.30673,                 1.5636,                 1.4864,                 1.7515,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.3588,                 1.4176,                  1.573,                0.64106,                0.48831,                0.52373,                0.30776,                 1.5722,                 1.4844,                 1.7647,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.3606,                 1.4184,                 1.5687,                0.66789,                0.47245,                0.51859,                 0.3083,                 1.5537,                 1.4885,                 1.7507,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.3543,                 1.4273,                 1.5724,                0.62799,                0.50854,                0.52223,                0.31125,                 1.5616,                 1.4979,                 1.7569,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.3564,                 1.4052,                 1.5655,                0.65669,                 0.4877,                 0.5275,                0.31432,                 1.5541,                 1.4725,                 1.7499,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.3651,                 1.4249,                 1.5813,                0.64276,                0.48145,                0.52405,                0.30748,                 1.5625,                 1.4845,                 1.7582,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.3482,                  1.403,                 1.5699,                0.63142,                0.49037,                0.52529,                0.31129,                 1.5681,                 1.4838,                 1.7628,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.3403,                 1.4052,                 1.5648,                0.64502,                0.48241,                0.52534,                0.30853,                 1.5589,                 1.4827,                 1.7502,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.3428,                  1.406,                 1.5581,                0.63546,                0.48866,                0.52388,                0.31299,                 1.5527,                 1.4818,                 1.7401,             0.00026894,             0.00026894,             0.00026894
                     85,                  1.335,                 1.3866,                 1.5555,                0.63984,                0.49262,                0.53351,                0.31706,                 1.5681,                 1.4662,                 1.7507,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.3572,                 1.3966,                 1.5613,                0.64046,                0.48767,                0.52331,                0.30985,                 1.5667,                 1.4799,                 1.7462,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.3304,                 1.3718,                 1.5505,                0.64209,                 0.4887,                0.52192,                0.31338,                 1.5649,                 1.4768,                  1.751,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.3375,                  1.372,                 1.5516,                0.65774,                0.47881,                0.52187,                0.31346,                 1.5595,                 1.4704,                 1.7422,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.3284,                 1.3681,                  1.545,                0.64317,                0.49429,                0.52408,                0.31243,                 1.5579,                 1.4702,                 1.7447,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.3306,                 1.3702,                 1.5511,                0.65131,                 0.4858,                0.52633,                0.31283,                 1.5678,                 1.4674,                 1.7536,             0.00018406,             0.00018406,             0.00018406
                     91,                  1.338,                 1.2954,                 1.5662,                0.64183,                0.48892,                0.52393,                 0.3128,                 1.5661,                 1.4671,                 1.7561,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.3253,                 1.2541,                 1.5558,                0.64708,                  0.482,                0.52919,                 0.3139,                 1.5552,                 1.4643,                 1.7469,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.3036,                 1.2364,                  1.544,                0.64262,                0.48384,                 0.5283,                0.31372,                 1.5586,                 1.4593,                 1.7501,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.3152,                  1.235,                 1.5431,                0.62057,                0.49193,                 0.5257,                0.31183,                 1.5654,                 1.4607,                 1.7571,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.3063,                 1.2231,                 1.5449,                0.60719,                0.49033,                0.52905,                0.31503,                 1.5659,                 1.4562,                 1.7542,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.3001,                 1.2077,                 1.5369,                0.63593,                0.47423,                 0.5252,                0.31505,                 1.5632,                 1.4601,                 1.7492,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.2955,                 1.2176,                 1.5382,                0.62199,                0.48486,                0.52638,                0.31548,                 1.5623,                 1.4578,                 1.7468,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.2951,                 1.2123,                 1.5311,                0.63882,                0.47847,                0.52835,                0.31588,                 1.5612,                 1.4509,                 1.7487,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.2926,                 1.1952,                 1.5272,                0.66259,                0.46738,                0.52841,                0.31508,                  1.562,                 1.4502,                 1.7475,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.2872,                 1.1888,                 1.5278,                0.63576,                0.48627,                0.53239,                0.31656,                 1.5617,                  1.446,                 1.7485,             4.2584e-05,             4.2584e-05,             4.2584e-05
