                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5595,                 1.6972,                 1.7146,                0.55867,                0.47056,                0.45417,                0.26218,                 1.6153,                 1.7491,                 1.8016,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.552,                 1.6978,                 1.7101,                 0.5673,                0.44332,                0.45438,                0.26579,                 1.5895,                 1.7036,                   1.79,               0.008317,               0.008317,               0.008317
                     37,                 1.5552,                 1.6592,                    1.7,                0.53948,                0.48474,                0.46231,                 0.2671,                 1.5899,                 1.6816,                 1.7793,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5458,                 1.6702,                 1.6969,                0.55097,                 0.4693,                0.46642,                0.26971,                 1.5757,                 1.6664,                  1.775,               0.008218,               0.008218,               0.008218
                     39,                   1.55,                 1.6672,                 1.6976,                0.59058,                0.47228,                0.47813,                0.27867,                   1.56,                 1.6727,                  1.759,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.5398,                 1.6638,                 1.6849,                0.57096,                0.48506,                 0.4781,                0.27969,                 1.5636,                 1.6337,                 1.7628,               0.008119,               0.008119,               0.008119
                     41,                 1.5414,                 1.6629,                 1.6928,                 0.5627,                0.48068,                0.47811,                0.27899,                 1.5834,                  1.613,                 1.7775,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.5383,                 1.6475,                  1.689,                0.55842,                0.49006,                0.47228,                0.27444,                 1.5651,                 1.6586,                 1.7486,                0.00802,                0.00802,                0.00802
                     43,                 1.5248,                 1.6299,                 1.6735,                0.58194,                0.46838,                0.48129,                0.28103,                 1.5702,                 1.6327,                 1.7645,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.5292,                 1.6162,                  1.675,                0.54816,                0.46567,                 0.4747,                0.27709,                 1.5583,                  1.605,                 1.7578,               0.007921,               0.007921,               0.007921
                     45,                 1.5162,                 1.6135,                 1.6703,                0.56907,                0.47362,                0.47452,                0.27831,                   1.56,                 1.6228,                 1.7545,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.5243,                  1.613,                 1.6747,                0.56374,                0.49358,                0.48155,                0.28162,                  1.567,                 1.5767,                   1.75,               0.007822,               0.007822,               0.007822
                     47,                 1.5127,                 1.6145,                 1.6656,                0.56778,                0.48348,                0.48739,                0.28918,                 1.5614,                 1.5867,                  1.752,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.5048,                 1.6035,                 1.6569,                0.55156,                0.49024,                0.48694,                 0.2911,                  1.566,                 1.5647,                 1.7518,               0.007723,               0.007723,               0.007723
                     49,                 1.5032,                 1.5933,                  1.659,                0.58705,                0.49852,                0.49895,                0.29608,                 1.5406,                 1.5453,                 1.7341,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.5005,                 1.5947,                 1.6609,                0.59922,                0.48137,                 0.4922,                0.29235,                 1.5666,                 1.5856,                 1.7494,               0.007624,               0.007624,               0.007624
                     51,                 1.5045,                 1.5852,                 1.6522,                0.58404,                0.48902,                0.49706,                0.29233,                 1.5474,                 1.5608,                 1.7309,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.5002,                 1.5813,                 1.6462,                0.58568,                0.49885,                0.49564,                0.29234,                  1.553,                 1.5493,                 1.7406,               0.007525,               0.007525,               0.007525
                     53,                 1.4924,                 1.5671,                 1.6485,                0.60794,                0.47412,                0.49952,                0.29528,                 1.5443,                 1.5316,                 1.7244,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4936,                 1.5612,                 1.6434,                0.57986,                0.49797,                 0.5018,                0.29526,                 1.5402,                 1.5556,                 1.7256,               0.007426,               0.007426,               0.007426
                     55,                 1.4953,                 1.5619,                 1.6446,                0.57704,                0.51376,                0.49686,                0.29421,                 1.5408,                 1.5549,                 1.7121,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4776,                  1.547,                 1.6369,                 0.5711,                0.50655,                0.49988,                0.29722,                  1.528,                 1.5399,                 1.7073,               0.007327,               0.007327,               0.007327
                     57,                 1.4797,                 1.5584,                 1.6383,                0.58479,                0.49504,                0.50417,                0.30018,                   1.53,                 1.5219,                 1.7232,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4831,                 1.5357,                 1.6315,                0.59567,                0.50105,                0.50676,                0.30044,                 1.5301,                 1.5351,                 1.7071,               0.007228,               0.007228,               0.007228
                     59,                 1.4748,                  1.534,                 1.6345,                0.57487,                0.50942,                0.50612,                0.30427,                 1.5218,                 1.5186,                 1.7095,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4795,                  1.534,                  1.629,                0.57332,                0.51198,                0.50349,                0.29746,                 1.5375,                 1.5019,                  1.715,               0.007129,               0.007129,               0.007129
                     61,                 1.4652,                 1.5326,                 1.6217,                0.56596,                0.52106,                0.51496,                0.30782,                 1.5257,                 1.5026,                 1.7036,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.4749,                  1.528,                 1.6245,                0.58247,                0.49701,                0.50411,                0.30122,                 1.5512,                 1.5234,                 1.7267,                0.00703,                0.00703,                0.00703
                     63,                 1.4609,                 1.5087,                 1.6174,                  0.612,                0.49319,                0.51034,                0.30513,                 1.5302,                 1.4993,                 1.7099,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.4581,                 1.5138,                 1.6159,                0.58157,                0.50542,                 0.5093,                0.30227,                 1.5433,                 1.4965,                 1.7097,               0.006931,               0.006931,               0.006931
                     65,                 1.4636,                  1.497,                  1.612,                0.60007,                0.49282,                0.50512,                0.30216,                 1.5213,                 1.5034,                 1.6958,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4708,                 1.5127,                 1.6216,                0.58166,                0.52321,                0.51397,                0.30618,                 1.4921,                 1.4743,                 1.6733,               0.006832,               0.006832,               0.006832
                     67,                   1.46,                  1.493,                 1.6057,                0.60056,                0.50876,                0.51667,                0.31256,                 1.5097,                 1.4586,                 1.6814,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.4453,                  1.488,                 1.6032,                0.58415,                0.51652,                0.51595,                0.31466,                 1.5044,                 1.4893,                 1.6769,               0.006733,               0.006733,               0.006733
                     69,                   1.45,                 1.4874,                 1.5991,                0.60058,                0.50073,                0.51124,                0.30849,                 1.4984,                 1.4907,                 1.6801,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.4444,                 1.4811,                 1.5932,                0.63126,                0.49245,                0.51961,                0.31414,                 1.5084,                 1.4642,                  1.688,               0.006634,               0.006634,               0.006634
                     71,                 1.4486,                 1.4928,                  1.602,                0.61724,                0.50829,                 0.5257,                0.31749,                  1.498,                 1.4791,                 1.6746,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.4388,                 1.4769,                 1.5905,                0.59166,                0.51179,                0.52269,                0.31675,                 1.4994,                 1.4689,                 1.6739,               0.006535,               0.006535,               0.006535
                     73,                 1.4402,                 1.4668,                 1.6002,                0.58907,                0.52199,                0.52883,                0.32172,                 1.4956,                 1.4532,                 1.6772,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.4323,                 1.4601,                 1.5877,                0.59756,                0.51737,                0.52429,                0.31597,                 1.5076,                 1.4639,                 1.6905,               0.006436,               0.006436,               0.006436
                     75,                 1.4308,                 1.4651,                 1.5883,                0.59687,                0.52282,                0.51854,                0.31439,                 1.5055,                 1.4599,                  1.679,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.4282,                 1.4559,                 1.5902,                0.59989,                0.52226,                0.52916,                0.31852,                 1.4935,                 1.4576,                  1.676,               0.006337,               0.006337,               0.006337
                     77,                 1.4325,                 1.4553,                 1.5868,                0.59717,                0.51198,                0.52734,                0.31872,                 1.4888,                 1.4416,                 1.6654,              0.0062875,              0.0062875,              0.0062875
                     78,                  1.424,                 1.4607,                 1.5831,                 0.6049,                0.51986,                0.53236,                0.31887,                 1.4938,                 1.4353,                 1.6704,               0.006238,               0.006238,               0.006238
                     79,                 1.4306,                 1.4364,                   1.58,                0.61419,                0.50943,                0.53339,                0.32112,                 1.4999,                 1.4265,                 1.6743,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.4284,                 1.4473,                 1.5785,                0.60631,                0.52302,                0.52742,                0.31704,                 1.4933,                 1.4409,                 1.6654,               0.006139,               0.006139,               0.006139
                     81,                 1.4179,                 1.4354,                 1.5734,                0.62131,                0.51034,                0.52475,                0.31765,                 1.4886,                  1.447,                 1.6559,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.4252,                 1.4465,                 1.5748,                0.60669,                0.51373,                 0.5255,                 0.3212,                 1.4873,                 1.4324,                 1.6692,                0.00604,                0.00604,                0.00604
                     83,                 1.4109,                 1.4341,                  1.569,                0.59726,                0.52092,                0.53324,                0.32569,                 1.4794,                 1.4142,                 1.6591,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.4088,                 1.4162,                 1.5695,                0.59719,                0.52541,                0.53143,                0.32344,                  1.486,                 1.4111,                 1.6662,               0.005941,               0.005941,               0.005941
                     85,                  1.419,                   1.43,                 1.5698,                0.62558,                0.50301,                0.53336,                0.32623,                 1.4899,                 1.4201,                 1.6655,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.4044,                 1.4159,                 1.5637,                 0.6229,                0.51605,                0.53219,                0.32428,                  1.481,                 1.4183,                 1.6613,               0.005842,               0.005842,               0.005842
                     87,                 1.4096,                 1.4165,                  1.568,                0.61235,                0.51839,                0.52985,                0.32236,                 1.4847,                 1.4306,                 1.6568,              0.0057925,              0.0057925,              0.0057925
                     88,                  1.405,                 1.4102,                 1.5634,                0.62172,                0.51536,                0.53073,                0.32385,                 1.4826,                 1.4137,                 1.6622,               0.005743,               0.005743,               0.005743
                     89,                  1.399,                 1.4086,                  1.558,                0.62578,                0.49787,                 0.5309,                0.32362,                 1.4745,                 1.4195,                 1.6564,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.4042,                 1.3954,                 1.5577,                0.64467,                0.50128,                0.53887,                0.32619,                 1.4797,                 1.4051,                 1.6558,               0.005644,               0.005644,               0.005644
                     91,                 1.3992,                 1.4024,                 1.5588,                0.63042,                0.51158,                 0.5386,                0.32789,                 1.4813,                 1.3929,                 1.6499,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3978,                 1.3887,                 1.5599,                 0.6167,                0.52303,                0.53963,                0.32878,                 1.4785,                 1.4044,                 1.6545,               0.005545,               0.005545,               0.005545
                     93,                 1.4019,                  1.389,                 1.5569,                0.59935,                   0.52,                 0.5356,                0.32936,                 1.4759,                 1.4194,                 1.6519,              0.0054955,              0.0054955,              0.0054955
                     94,                  1.394,                 1.3725,                  1.543,                0.58851,                 0.5255,                0.53063,                0.32669,                   1.47,                 1.4179,                 1.6538,               0.005446,               0.005446,               0.005446
                     95,                 1.3792,                 1.3629,                 1.5396,                0.58724,                0.53274,                0.53162,                0.32485,                 1.4648,                 1.4114,                 1.6462,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.3933,                 1.3666,                 1.5413,                 0.6003,                0.52633,                0.53105,                0.32638,                 1.4706,                 1.4098,                 1.6457,               0.005347,               0.005347,               0.005347
                     97,                 1.3859,                 1.3666,                 1.5489,                0.60699,                0.52234,                 0.5349,                0.32682,                 1.4728,                 1.4168,                 1.6487,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.3828,                  1.364,                 1.5472,                 0.6278,                0.50733,                0.53242,                0.32534,                 1.4666,                 1.4124,                 1.6442,               0.005248,               0.005248,               0.005248
                     99,                 1.3724,                 1.3628,                 1.5375,                0.61849,                0.50293,                0.52997,                0.32836,                 1.4668,                 1.4145,                 1.6457,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.3852,                 1.3624,                 1.5363,                0.60511,                0.51891,                0.53058,                0.32792,                 1.4657,                 1.4102,                 1.6437,               0.005149,               0.005149,               0.005149
                    101,                 1.3709,                 1.3559,                 1.5308,                0.61259,                0.50638,                0.53207,                0.32844,                 1.4682,                 1.4053,                 1.6422,              0.0050995,              0.0050995,              0.0050995
                    102,                  1.374,                 1.3444,                 1.5276,                0.59601,                0.52169,                0.52924,                0.32732,                 1.4714,                 1.4138,                  1.641,                0.00505,                0.00505,                0.00505
                    103,                  1.378,                   1.35,                 1.5304,                0.63024,                0.49553,                0.53173,                 0.3275,                 1.4728,                 1.4167,                 1.6438,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.3729,                 1.3548,                 1.5331,                0.59975,                0.51044,                0.53265,                0.32674,                 1.4769,                 1.4142,                 1.6462,               0.004951,               0.004951,               0.004951
                    105,                 1.3749,                 1.3563,                 1.5324,                0.64178,                0.48268,                0.53352,                0.32683,                 1.4819,                 1.4124,                 1.6547,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.3598,                 1.3308,                 1.5193,                0.59939,                 0.5156,                0.53933,                0.32912,                 1.4793,                 1.4031,                 1.6542,               0.004852,               0.004852,               0.004852
                    107,                 1.3681,                 1.3283,                 1.5251,                0.59227,                0.52179,                 0.5397,                0.33008,                 1.4762,                 1.3994,                 1.6497,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.3593,                 1.3295,                 1.5232,                0.61076,                0.51033,                0.53806,                0.33165,                 1.4684,                    1.4,                 1.6436,               0.004753,               0.004753,               0.004753
                    109,                 1.3598,                 1.3273,                 1.5268,                0.63802,                0.49642,                0.53605,                 0.3305,                 1.4699,                 1.4046,                 1.6432,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.3572,                  1.315,                 1.5216,                0.65564,                0.48644,                0.53635,                0.32913,                 1.4695,                 1.4019,                 1.6435,               0.004654,               0.004654,               0.004654
