                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4997,                 3.5642,                 4.1406,                0.00231,                0.23684,                0.00608,                0.00224,                 3.8844,                 4.0141,                 4.2359,             0.00065591,             0.00065591,             0.00065591
                      2,                 3.1767,                 3.3592,                 3.6384,                0.00257,                0.26316,                0.00704,                0.00243,                 3.8731,                 3.9407,                 4.2693,             0.00088613,             0.00088613,             0.00088613
                      3,                 3.0226,                  3.214,                 3.3485,                0.09045,                0.07895,                0.04522,                0.01364,                 2.9793,                 4.0312,                 3.3517,             0.00067634,             0.00067634,             0.00067634
