                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1136,                0.59627,                 0.9272,                0.84342,                0.68202,                0.76137,                0.48977,                0.96223,                0.54738,                0.92959,              0.0016733,              0.0016733,              0.0016733
                     36,                  1.053,                0.57222,                 0.9234,                0.85625,                0.64858,                0.76044,                0.49356,                0.93153,                0.53684,                0.92125,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0866,                0.58595,                0.91222,                0.83656,                0.69165,                0.76617,                0.49463,                0.97604,                0.54924,                0.91601,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.0705,                0.57974,                0.90883,                0.80251,                0.70353,                0.75773,                0.49829,                0.94475,                  0.545,                0.91338,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.0545,                0.57558,                0.90975,                0.84683,                0.68475,                0.76717,                0.49382,                0.93162,                0.53187,                0.90526,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.0326,                0.56017,                0.89933,                0.82079,                 0.6943,                0.77278,                 0.5018,                0.95568,                 0.5291,                0.91085,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.0561,                0.57787,                0.90929,                0.83495,                  0.677,                 0.7647,                0.49629,                0.93915,                0.58233,                0.90328,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0453,                0.57046,                 0.9072,                0.85397,                0.67959,                0.77236,                0.50234,                0.92457,                0.52638,                0.91129,               0.001604,               0.001604,               0.001604
                     43,                 1.0135,                0.56055,                0.90085,                0.82608,                0.69251,                0.76862,                 0.5168,                0.91567,                0.53256,                0.90842,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.0202,                0.55725,                0.89191,                0.83271,                0.69595,                0.76938,                0.48695,                0.92802,                0.52121,                0.89889,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.0489,                0.55444,                 0.9016,                0.83645,                0.67837,                0.77244,                0.49918,                0.92726,                0.52526,                0.89852,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.0431,                0.55964,                 0.9018,                0.84723,                0.68303,                0.77527,                0.49722,                0.94313,                0.53313,                0.90376,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.0229,                0.54801,                0.90134,                0.86805,                0.64255,                0.75194,                0.50783,                0.88629,                0.53081,                0.90076,              0.0015545,              0.0015545,              0.0015545
                     48,                0.98059,                0.53259,                0.88706,                0.86218,                0.69509,                0.78562,                0.52221,                0.86884,                0.49552,                0.89756,              0.0015446,              0.0015446,              0.0015446
                     49,                0.99662,                0.53303,                0.88846,                0.84937,                0.66925,                0.76589,                0.50134,                0.90554,                0.52553,                0.90115,              0.0015347,              0.0015347,              0.0015347
                     50,                0.98457,                0.52918,                0.89488,                0.84484,                0.69854,                0.78381,                0.52809,                0.84237,                0.48925,                0.88657,              0.0015248,              0.0015248,              0.0015248
                     51,                0.97965,                0.53306,                0.88855,                0.86028,                0.68945,                0.77678,                0.51162,                0.88438,                0.50249,                0.89836,              0.0015149,              0.0015149,              0.0015149
                     52,                0.97037,                0.52533,                0.88368,                0.82288,                0.69229,                0.77658,                0.53209,                0.86012,                0.50022,                0.88816,               0.001505,               0.001505,               0.001505
                     53,                 0.9682,                0.52747,                0.88832,                0.86473,                0.70284,                0.79432,                0.53307,                0.87149,                0.50001,                0.90127,              0.0014951,              0.0014951,              0.0014951
                     54,                0.99722,                0.53534,                0.89287,                0.86464,                 0.6994,                0.78714,                 0.5181,                 0.8679,                0.51179,                0.88756,              0.0014852,              0.0014852,              0.0014852
                     55,                0.98013,                0.52528,                0.88318,                0.87994,                0.69251,                0.79783,                0.52056,                0.86534,                0.48507,                0.88969,              0.0014753,              0.0014753,              0.0014753
                     56,                 0.9662,                 0.5133,                0.88893,                  0.849,                0.69767,                0.78425,                0.53224,                0.84484,                0.49153,                0.88583,              0.0014654,              0.0014654,              0.0014654
                     57,                0.93921,                0.51194,                0.88287,                0.86073,                  0.692,                0.78109,                0.52361,                0.83143,                0.48844,                0.88253,              0.0014555,              0.0014555,              0.0014555
                     58,                0.92727,                0.50829,                 0.8776,                0.85345,                0.70026,                0.79544,                0.53437,                0.82934,                0.48329,                0.87641,              0.0014456,              0.0014456,              0.0014456
                     59,                0.94187,                0.51615,                0.87736,                0.85867,                0.69767,                0.79137,                0.52799,                0.85291,                0.47699,                0.88274,              0.0014357,              0.0014357,              0.0014357
                     60,                0.95482,                0.51513,                0.87895,                0.86515,                0.69767,                0.79408,                0.54149,                0.80958,                0.46558,                0.87496,              0.0014258,              0.0014258,              0.0014258
                     61,                0.92221,                0.49954,                0.88019,                0.87274,                0.69854,                0.80488,                0.54815,                0.81435,                0.46122,                 0.8863,              0.0014159,              0.0014159,              0.0014159
                     62,                0.91542,                0.50653,                0.87896,                0.86632,                0.70715,                0.79746,                0.54446,                0.83632,                0.47232,                0.88266,               0.001406,               0.001406,               0.001406
                     63,                0.94557,                0.51729,                0.87782,                  0.886,                0.69337,                0.80408,                0.53578,                0.83684,                0.47062,                 0.8798,              0.0013961,              0.0013961,              0.0013961
                     64,                0.92515,                0.50287,                0.87214,                0.90422,                 0.6749,                0.80182,                0.54738,                0.82442,                0.46201,                0.87782,              0.0013862,              0.0013862,              0.0013862
                     65,                0.94062,                 0.5068,                0.88043,                0.87068,                0.72351,                0.81271,                0.53529,                0.81965,                0.46203,                0.87204,              0.0013763,              0.0013763,              0.0013763
                     66,                0.92418,                0.50203,                0.87516,                0.84879,                0.71071,                0.80672,                 0.5439,                0.81817,                 0.4625,                  0.878,              0.0013664,              0.0013664,              0.0013664
                     67,                  0.947,                0.50251,                0.87939,                0.84215,                0.71921,                0.79714,                0.53881,                0.82445,                0.48029,                0.87099,              0.0013565,              0.0013565,              0.0013565
                     68,                0.90924,                0.49896,                0.87404,                0.84913,                0.71318,                0.79573,                0.55156,                0.81068,                0.46517,                0.87166,              0.0013466,              0.0013466,              0.0013466
                     69,                0.90629,                0.49335,                 0.8685,                0.83607,                0.70026,                 0.7959,                 0.5409,                0.79345,                0.46663,                0.87184,              0.0013367,              0.0013367,              0.0013367
                     70,                0.90528,                 0.4914,                0.87106,                0.88106,                0.68272,                0.78874,                0.54195,                0.81264,                0.47596,                0.88069,              0.0013268,              0.0013268,              0.0013268
                     71,                0.93039,                0.49821,                0.87188,                0.88414,                0.69673,                0.80324,                0.54147,                0.83619,                0.47357,                0.87498,              0.0013169,              0.0013169,              0.0013169
                     72,                0.89757,                0.48177,                0.87025,                0.84409,                0.72868,                0.81486,                0.56071,                0.78643,                0.44447,                0.86776,               0.001307,               0.001307,               0.001307
                     73,                0.89498,                0.48057,                0.86591,                0.86483,                0.70887,                0.81311,                 0.5593,                0.79483,                0.44504,                0.86838,              0.0012971,              0.0012971,              0.0012971
                     74,                0.88752,                0.47986,                0.86655,                0.87028,                0.71657,                0.80915,                 0.5583,                0.79025,                0.44402,                0.86451,              0.0012872,              0.0012872,              0.0012872
                     75,                0.88094,                0.47181,                0.86589,                0.88119,                0.70457,                0.81714,                0.56362,                0.77891,                0.44295,                0.86242,              0.0012773,              0.0012773,              0.0012773
                     76,                0.88334,                0.47453,                0.86663,                0.87945,                0.70543,                0.81441,                0.56211,                0.77327,                0.43025,                0.86521,              0.0012674,              0.0012674,              0.0012674
                     77,                 0.8904,                0.47443,                0.86431,                0.85716,                0.72438,                0.81129,                0.56457,                0.78535,                0.43928,                0.86252,              0.0012575,              0.0012575,              0.0012575
